"age_range","age_start","age_end","n_population","n_events","unit","incidence","se"
"20-25",20,25,984000,1815,100000,36.8902538459555,1.93623618076691
"25-30",25,30,978866,4329,100000,88.4492615379228,3.00597538942279
"30-35",30,35,972540,8435,100000,173.463218817055,4.22327984382109
"35-40",35,40,962935,14687,100000,305.046636519294,5.6283966451773
"40-45",40,45,947703,22057,100000,465.483522849402,7.00835501041496
"45-50",45,50,924988,30188,100000,652.722025036647,8.40032519750678
"50-55",50,55,892667,38608,100000,865.003459638633,9.84383202599578
"55-60",55,60,847729,45718,100000,1078.5989752095,11.2797998576685
"60-65",60,65,786267,50843,100000,1293.27535931662,12.8250899898211
"65-70",65,70,704775,52995,100000,1503.88322731442,14.6076942316996
"70-75",70,75,602564,50529,100000,1677.13367528215,16.6833142275654
"75-80",75,80,479387,43756,100000,1825.49647390134,19.5140401291309
"80-85",80,85,337579,32491,100000,1924.94062568638,23.8792565482319
"85-100",85,100,98099,28846,100000,1960.33235845942,44.7025748098663
