"stage","years_from_dx","surv"
"1",0,1
"1",1,0.902364612206724
"1",2,0.826029052894877
"1",3,0.761655254108968
"1",4,0.696290346362801
"1",5,0.646678941503953
"1",6,0.578488323275901
"1",7,0.507584151656211
"1",8,0.462542578913788
"1",9,0.401741494017042
"1",10,0.356040821552572
"2",0,1
"2",1,0.771634123270535
"2",2,0.567281051866319
"2",3,0.424863474868139
"2",4,0.299423176297874
"2",5,0.222802666770753
"2",6,0.163450533383151
"2",7,0.118703140970084
"2",8,0.0883678801753264
"2",9,0.0610910112568339
"2",10,0.0428936887547982
